n	ṅ
purisālankāraṃ	purisālaṅkāraṃ
angulipabbamatta	aṅgulipabbamatta
angulipabbamattaṃ	aṅgulipabbamattaṃ
parisuddhasankhātataro	parisuddhasaṅkhātataro
parisuddhasankhātatarā	parisuddhasaṅkhātatarā
sankīḷati	saṅkīḷati
sankīḷanti	saṅkīḷanti
sankelāyati	saṅkelāyati
sankheyyake	saṅkheyyake
gamikābhisankhāro	gamikābhisaṅkhāro
sangahetabbo	saṅgahetabbo
sangahetuṃ	saṅgahetuṃ
sangahesuṃ	saṅgahesuṃ
sampadamākankhī	sampadamākaṅkhī
singīsuvaṇṇaṃ	siṅgīsuvaṇṇaṃ
amanāpasankhātaṃ	amanāpasaṅkhātaṃ
sanghasammuti	saṅghasammuti
nālamariyasankhātā	nālamariyasaṅkhātā
asangāhako	asaṅgāhako
tadanganibbānaṃ	tadaṅganibbānaṃ
pañcangasampanno	pañcaṅgasampanno
kajangalakā	kajaṅgalakā
kajangalikā	kajaṅgalikā
kajangalikaṃ	kajaṅgalikaṃ
kajangalikāya	kajaṅgalikāya
sanghasāmaggī	saṅghasāmaggī
sanghasāmaggiyo	saṅghasāmaggiyo
sanghasāmaggiṃ	saṅghasāmaggiṃ
sanghasāmaggiyā	saṅghasāmaggiyā
sanghasāmaggi	saṅghasāmaggi
micchāsankappapaccayā	micchāsaṅkappapaccayā
sammāsankappapaccayā	sammāsaṅkappapaccayā
kammanidānasankhayo	kammanidānasaṅkhayo
mālānānālankārassa	mālānānālaṅkārassa
uddhankhitto	uddhaṅkhitto
anguttarasamāyuta	aṅguttarasamāyuta
anguttarasamāyutā	aṅguttarasamāyutā
evankaṭukaṃ	evaṅkaṭukaṃ
sankhittabalasutta	saṅkhittabalasutta
sankhittadhanasutta	saṅkhittadhanasutta
evankamanīyo	evaṅkamanīyo
dutiyasankhittasutta	dutiyasaṅkhittasutta
tatiyasankhittasutta	tatiyasaṅkhittasutta
paṭhamasankhittasutta	paṭhamasaṅkhittasutta
sankhittasutta	saṅkhittasutta
acankame	acaṅkame
vangīsavagga	vaṅgīsavagga
sankhittadhammasutta	saṅkhittadhammasutta
sankiṇṇaparikkho	saṅkiṇṇaparikkho
kathankārī	kathaṅkārī
alingaṃ	aliṅgaṃ
alinge	aliṅge
alingassa	aliṅgassa
